"Date","Open"
"2018-12-18","101.760002"
"2018-12-19","104.190002"
"2018-12-20","103.110001"
"2018-12-21","100.980003"
"2018-12-24","97.400002"
"2018-12-26","95.889999"
"2018-12-27","96.309998"
"2018-12-28","99.449997"
"2018-12-31","99.559998"
"2019-01-02","98.099998"
"2019-01-03","98.849998"
"2019-01-04","100.230003"
"2019-01-07","103.32"
"2019-01-08","107.620003"
"2019-01-09","112.160004"
"2019-01-10","109.870003"
"2019-01-11","111.739998"
"2019-01-14","110.610001"
"2019-01-15","112.550003"
"2019-01-16","111.900002"
"2019-01-17","113.559998"
"2019-01-18","114.260002"
"2019-01-22","112.230003"
"2019-01-23","111.209999"
"2019-01-24","110.949997"
"2019-01-25","111.970001"
"2019-01-28","110.110001"
"2019-01-29","110.790001"
"2019-01-30","110.809998"
"2019-01-31","116.040001"
"2019-02-01","126.07"
"2019-02-04","126.010002"
"2019-02-05","127.970001"
"2019-02-06","127.029999"
"2019-02-07","123.370003"
"2019-02-08","123.199997"
"2019-02-11","123.260002"
"2019-02-12","124.099998"
"2019-02-13","125.809998"
"2019-02-14","124.5"
"2019-02-15","125.68"
"2019-02-19","125.739998"
"2019-02-20","126.32"
"2019-02-21","125.599998"
"2019-02-22","126.25"
"2019-02-25","127.129997"
"2019-02-26","128.070007"
"2019-02-27","128.589996"
"2019-02-28","128.130005"
"2019-03-01","130.289993"
"2019-03-04","131.800003"
"2019-03-05","130.509995"
"2019-03-06","130.440002"
"2019-03-07","128.490005"
"2019-03-08","127.010002"
"2019-03-11","128.720001"
"2019-03-12","130.229996"
"2019-03-13","130.729996"
"2019-03-14","130.660004"
"2019-03-15","132"
"2019-03-18","131.660004"
"2019-03-19","132.429993"
"2019-03-20","132.889999"
"2019-03-21","131.880005"
"2019-03-22","131.050003"
"2019-03-25","129.919998"
"2019-03-26","132"
"2019-03-27","133.889999"
"2019-03-28","132.970001"
"2019-03-29","133.789993"
"2019-04-01","135.740005"
"2019-04-02","135.169998"
"2019-04-03","136.649994"
"2019-04-04","136.809998"
"2019-04-05","137.490005"
"2019-04-08","137.119995"
"2019-04-09","136.279999"
"2019-04-10","135.809998"
"2019-04-11","136.910004"
"2019-04-12","138.860001"
"2019-04-15","138"
"2019-04-16","136.050003"
"2019-04-17","136.889999"
"2019-04-18","137.339996"
"2019-04-22","139.910004"
"2019-04-23","137.649994"
"2019-04-24","137.270004"
"2019-04-25","135.490005"
"2019-04-26","134.770004"
"2019-04-29","134.570007"
"2019-04-30","136.039993"
"2019-05-01","136.139999"
"2019-05-02","134.820007"
"2019-05-03","133.929993"
"2019-05-06","130.25"
"2019-05-07","138.309998"
"2019-05-08","138.509995"
"2019-05-09","141.309998"
"2019-05-10","141.429993"
"2019-05-13","137.770004"
"2019-05-14","140.559998"
"2019-05-15","138.770004"
"2019-05-16","143.039993"
"2019-05-17","142.940002"
"2019-05-20","141.679993"
"2019-05-21","142.809998"
"2019-05-22","142.710007"
"2019-05-23","142.399994"
"2019-05-24","143.149994"
"2019-05-28","143.009995"
"2019-05-29","141.699997"
"2019-05-30","142.169998"
"2019-05-31","140.470001"
"2019-06-03","142.009995"
"2019-06-04","142.410004"
"2019-06-05","144.479996"
"2019-06-06","146.389999"
"2019-06-07","150.179993"
"2019-06-10","150.800003"
"2019-06-11","155.309998"
"2019-06-12","154.740005"
"2019-06-13","154.039993"
"2019-06-14","153.220001"
"2019-06-17","153.460007"
"2019-06-18","156.580002"
"2019-06-19","156.850006"
"2019-06-20","162.050003"
"2019-06-21","161.190002"
"2019-06-24","162.869995"
"2019-06-25","161.449997"
"2019-06-26","159.699997"
"2019-06-27","158.960007"
"2019-06-28","161.320007"
"2019-07-01","162.570007"
"2019-07-02","164.820007"
"2019-07-03","168.179993"
"2019-07-05","165.559998"
"2019-07-08","166.179993"
"2019-07-09","165.279999"
"2019-07-10","167.070007"
"2019-07-11","166.699997"
"2019-07-12","167.039993"
"2019-07-15","168.089996"
"2019-07-16","170.070007"
"2019-07-17","169.509995"
"2019-07-18","168.699997"
"2019-07-19","167.440002"
"2019-07-22","167.190002"
"2019-07-23","168.529999"
"2019-07-24","168.139999"
"2019-07-25","167.25"
"2019-07-26","165.550003"
"2019-07-29","165.050003"
"2019-07-30","160.830002"
"2019-07-31","162.300003"
"2019-08-01","162.679993"
"2019-08-02","161.679993"
"2019-08-05","158.979996"
"2019-08-06","157"
"2019-08-07","155.350006"
"2019-08-08","158.580002"
"2019-08-09","159.080002"
"2019-08-12","158.139999"
"2019-08-13","158.529999"
"2019-08-14","159"
"2019-08-15","155.710007"
"2019-08-16","154.130005"
"2019-08-19","157"
"2019-08-20","155.070007"
"2019-08-21","157.220001"
"2019-08-22","156.050003"
"2019-08-23","154.009995"
"2019-08-26","155.979996"
"2019-08-27","159.720001"
"2019-08-28","157.539993"
"2019-08-29","159.339996"
"2019-08-30","158.339996"
"2019-09-03","158.710007"
"2019-09-04","160.5"
"2019-09-05","163.050003"
"2019-09-06","163.949997"
"2019-09-09","164.479996"
"2019-09-10","154.199997"
"2019-09-11","152.75"
"2019-09-12","152.550003"
"2019-09-13","154.029999"
"2019-09-16","151.5"
"2019-09-17","151.649994"
"2019-09-18","153.850006"
"2019-09-19","154.479996"
"2019-09-20","152.740005"
"2019-09-23","151.050003"
"2019-09-24","151.690002"
"2019-09-25","148.660004"
"2019-09-26","152"
"2019-09-27","153.149994"
"2019-09-30","153.360001"
"2019-10-01","154.070007"
"2019-10-02","148.029999"
"2019-10-03","147.119995"
"2019-10-04","149.850006"
"2019-10-07","148.949997"
"2019-10-08","148.979996"
"2019-10-09","149.110001"
"2019-10-10","148.110001"
"2019-10-11","152.059998"
"2019-10-14","154.309998"
"2019-10-15","155.410004"
"2019-10-16","158.889999"
"2019-10-17","159.699997"
"2019-10-18","157"
"2019-10-21","157.050003"
"2019-10-22","156.979996"
"2019-10-23","153.009995"
"2019-10-24","153.149994"
"2019-10-25","155"
"2019-10-28","157.020004"
"2019-10-29","157.369995"
"2019-10-30","158.570007"
"2019-10-31","159.570007"
"2019-11-01","160.529999"
"2019-11-04","171.899994"
"2019-11-05","168.399994"
"2019-11-06","165.270004"
"2019-11-07","165.990005"
"2019-11-08","165.460007"
"2019-11-11","163.800003"
"2019-11-12","164.710007"
"2019-11-13","163.990005"
"2019-11-14","163.949997"
"2019-11-15","166.910004"
"2019-11-18","165.710007"
"2019-11-19","165.699997"
"2019-11-20","166.009995"
"2019-11-21","165.770004"
"2019-11-22","166.460007"
"2019-11-25","166.649994"
"2019-11-26","168.449997"
"2019-11-27","170.779999"
"2019-11-29","168.529999"
"2019-12-02","167.190002"
"2019-12-03","167.179993"
"2019-12-04","168.860001"
"2019-12-05","168.429993"
"2019-12-06","167.589996"
"2019-12-09","163.800003"
"2019-12-10","165.029999"
"2019-12-11","165.210007"
"2019-12-12","165.949997"
"2019-12-13","166.160004"
"2019-12-16","165.720001"
"2019-12-17","167"
"2019-12-18","167.399994"
"2019-12-19","166"
"2019-12-20","167.300003"
"2019-12-23","168"
"2019-12-24","168.029999"
"2019-12-26","167.820007"
"2019-12-27","168.449997"
"2019-12-30","167.720001"
"2019-12-31","165"
"2020-01-02","167.050003"
"2020-01-03","166.759995"
"2020-01-06","164.759995"
"2020-01-07","165.979996"
"2020-01-08","167.039993"
"2020-01-09","170.759995"
"2020-01-10","174.419998"
"2020-01-13","172.710007"
"2020-01-14","173.669998"
"2020-01-15","172.960007"
"2020-01-16","172.580002"
